X_h	M_min	N_ion	R_mfp
0.123	176.32	124.21	17.26
0.443	217.89	114.74	5.73
0.844	176.32	181.05	1.12
0.184	259.47	105.26	40.32
0.719	550.53	95.79	5.73
0.698	633.68	105.26	8.04
0.631	716.84	124.21	17.26
0.664	716.84	124.21	10.34
0.0	51.58	133.68	33.4
0.234	10.0	20.0	24.18
0.847	550.53	38.95	14.96
0.885	550.53	29.47	8.04
0.499	758.42	200.0	14.96
0.85	176.32	114.74	1.12
0.851	176.32	105.26	1.12
0.966	675.26	181.05	1.12
0.014	51.58	76.84	21.87
0.0	93.16	190.53	35.71
0.626	425.79	76.84	17.26
0.388	592.11	162.11	38.01
0.948	800.0	20.0	3.43
0.002	93.16	114.74	28.79
0.129	176.32	133.68	14.96
0.095	51.58	57.89	17.26
0.792	800.0	76.84	26.48
0.067	176.32	95.79	40.32
0.186	259.47	143.16	17.26
0.444	633.68	162.11	26.48
0.418	508.95	143.16	21.87
0.507	93.16	38.95	8.04
0.893	800.0	38.95	12.65
0.944	425.79	57.89	1.12
0.569	467.37	95.79	21.87
0.556	508.95	105.26	40.32
0.51	550.53	124.21	33.4
0.443	633.68	190.53	14.96
0.356	176.32	67.37	21.87
0.0	51.58	162.11	31.1
0.962	508.95	20.0	1.12
0.007	134.74	105.26	38.01
0.782	467.37	48.42	19.57
0.369	301.05	95.79	26.48
0.956	508.95	48.42	1.12
0.919	800.0	29.47	40.32
0.56	301.05	67.37	24.18
0.904	675.26	29.47	28.79
0.576	675.26	162.11	10.34
0.0	134.74	162.11	31.1
0.504	259.47	67.37	26.48
0.884	342.63	20.0	17.26
0.515	550.53	200.0	8.04
0.001	176.32	181.05	31.1
0.416	758.42	200.0	33.4
0.834	758.42	57.89	17.26
0.919	800.0	29.47	19.57
0.813	176.32	20.0	8.04
0.738	633.68	76.84	40.32
0.069	51.58	190.53	5.73
0.281	425.79	152.63	24.18
0.772	342.63	38.95	14.96
0.492	217.89	76.84	8.04
0.622	716.84	124.21	38.01
0.532	176.32	48.42	31.1
0.106	217.89	105.26	38.01
0.71	758.42	105.26	12.65
0.804	134.74	162.11	1.12
0.0	10.0	114.74	38.01
0.321	550.53	181.05	24.18
0.111	217.89	143.16	19.57
0.234	384.21	152.63	24.18
0.338	675.26	200.0	35.71
0.724	675.26	86.32	17.26
0.91	716.84	29.47	28.79
0.631	675.26	114.74	24.18
0.015	176.32	143.16	28.79
0.813	675.26	152.63	3.43
0.363	633.68	200.0	21.87
0.636	342.63	181.05	3.43
0.63	550.53	95.79	17.26
0.722	467.37	171.58	3.43
0.593	301.05	200.0	3.43
0.792	800.0	76.84	21.87
0.536	384.21	86.32	26.48
0.686	592.11	86.32	21.87
0.442	508.95	133.68	24.18
0.611	800.0	143.16	31.1
0.687	716.84	181.05	5.73
0.0	93.16	152.63	31.1
0.078	217.89	181.05	17.26
0.374	467.37	133.68	38.01
0.653	259.47	48.42	12.65
0.703	550.53	105.26	5.73
0.034	259.47	143.16	40.32
0.964	633.68	133.68	1.12
0.473	508.95	133.68	17.26
0.326	301.05	200.0	8.04
0.408	217.89	133.68	5.73
0.477	675.26	162.11	26.48
0.143	301.05	162.11	21.87
0.594	93.16	29.47	10.34
0.038	51.58	48.42	40.32
0.91	467.37	20.0	35.71
0.681	716.84	105.26	40.32
0.311	467.37	171.58	19.57
0.0	134.74	171.58	40.32
0.892	592.11	29.47	21.87
0.824	716.84	57.89	38.01
0.369	425.79	190.53	10.34
0.001	134.74	162.11	28.79
0.146	93.16	190.53	5.73
0.395	467.37	171.58	12.65
0.038	51.58	95.79	12.65
0.594	467.37	95.79	12.65
0.183	342.63	133.68	38.01
0.682	342.63	114.74	3.43
0.748	217.89	38.95	3.43
0.471	633.68	152.63	31.1
0.931	633.68	20.0	14.96
0.831	758.42	200.0	3.43
0.0	51.58	76.84	33.4
0.932	384.21	152.63	1.12
0.28	467.37	152.63	38.01
0.187	51.58	86.32	5.73
0.742	384.21	48.42	24.18
0.002	93.16	200.0	19.57
0.141	134.74	114.74	12.65
0.309	51.58	38.95	12.65
0.552	134.74	38.95	33.4
0.571	675.26	133.68	24.18
0.02	217.89	133.68	40.32
0.655	508.95	124.21	5.73
0.789	592.11	57.89	28.79
0.783	675.26	67.37	21.87
0.619	467.37	86.32	14.96
0.382	508.95	143.16	35.71
0.873	633.68	48.42	3.43
0.077	93.16	114.74	12.65
0.651	716.84	114.74	35.71
0.72	592.11	76.84	35.71
0.008	93.16	200.0	14.96
0.421	342.63	95.79	38.01
0.681	716.84	105.26	24.18
0.864	592.11	38.95	5.73
0.177	51.58	190.53	3.43
0.884	550.53	29.47	28.79
0.549	716.84	152.63	19.57
0.844	176.32	190.53	1.12
0.005	93.16	190.53	17.26
0.534	217.89	152.63	3.43
0.544	592.11	124.21	31.1
0.0	10.0	152.63	28.79
0.609	467.37	86.32	26.48
0.117	342.63	181.05	24.18
0.0	93.16	171.58	31.1
0.792	800.0	76.84	40.32
0.738	716.84	86.32	35.71
0.258	93.16	67.37	10.34
0.741	800.0	95.79	31.1
0.725	758.42	152.63	5.73
0.84	134.74	38.95	1.12
0.909	301.05	190.53	1.12
0.969	716.84	190.53	1.12
0.545	592.11	133.68	14.96
0.644	758.42	124.21	28.79
0.401	633.68	190.53	19.57
0.31	592.11	190.53	28.79
0.468	301.05	114.74	8.04
0.0	51.58	95.79	28.79
0.016	217.89	152.63	33.4
0.532	758.42	162.11	38.01
0.974	758.42	38.95	1.12
0.868	800.0	48.42	14.96
0.0	10.0	181.05	35.71
0.718	259.47	38.95	24.18
0.178	134.74	152.63	8.04
0.503	259.47	67.37	33.4
0.006	93.16	95.79	31.1
0.385	508.95	143.16	33.4
0.843	800.0	57.89	26.48
0.473	259.47	124.21	5.73
0.717	758.42	162.11	5.73
0.641	633.68	105.26	21.87
0.174	176.32	114.74	14.96
0.652	342.63	152.63	3.43
0.589	758.42	143.16	31.1
0.492	51.58	38.95	3.43
0.015	217.89	143.16	38.01
0.809	425.79	38.95	12.65
0.834	633.68	48.42	28.79
0.26	301.05	114.74	26.48
0.923	342.63	114.74	1.12
0.591	384.21	76.84	19.57
0.971	675.26	29.47	1.12
0.438	259.47	86.32	12.65
0.767	716.84	76.84	24.18
0.753	384.21	48.42	8.04
0.081	176.32	124.21	21.87
0.137	259.47	124.21	28.79
0.583	675.26	133.68	17.26
0.78	758.42	76.84	33.4
0.144	259.47	114.74	35.71
0.0	51.58	124.21	40.32
0.758	508.95	57.89	14.96
0.487	342.63	86.32	26.48
0.085	51.58	162.11	5.73
0.812	176.32	20.0	12.65
0.304	217.89	86.32	21.87
0.0	93.16	152.63	35.71
0.843	384.21	29.47	28.79
0.434	467.37	171.58	10.34
0.333	51.58	38.95	10.34
0.819	592.11	86.32	3.43
0.36	134.74	76.84	8.04
0.883	217.89	67.37	1.12
0.355	301.05	95.79	33.4
0.434	176.32	76.84	8.04
0.935	675.26	20.0	31.1
0.668	384.21	181.05	3.43
0.632	176.32	38.95	12.65
0.787	259.47	29.47	35.71
0.0	10.0	152.63	40.32
0.356	93.16	124.21	3.43
0.562	301.05	67.37	21.87
0.797	508.95	48.42	26.48
0.141	301.05	190.53	17.26
0.828	342.63	29.47	38.01
0.012	176.32	133.68	33.4
0.041	176.32	133.68	24.18
0.708	633.68	86.32	14.96
0.0	10.0	162.11	10.34
0.469	716.84	171.58	40.32
0.876	508.95	29.47	24.18
0.084	259.47	171.58	21.87
0.71	716.84	95.79	40.32
0.105	384.21	200.0	26.48
0.281	550.53	190.53	26.48
0.319	467.37	162.11	21.87
0.001	93.16	190.53	21.87
0.681	758.42	124.21	10.34
0.019	301.05	190.53	35.71
0.0	93.16	95.79	38.01
0.445	758.42	190.53	33.4
0.002	51.58	86.32	24.18
0.191	176.32	95.79	19.57
0.303	301.05	105.26	28.79
0.623	301.05	57.89	40.32
0.489	342.63	86.32	24.18
0.844	675.26	48.42	10.34
0.533	467.37	114.74	12.65
0.498	800.0	190.53	21.87
0.619	508.95	152.63	5.73
0.626	716.84	133.68	12.65
0.268	425.79	152.63	26.48
0.509	800.0	181.05	26.48
0.0	51.58	105.26	40.32
0.695	425.79	181.05	3.43
0.834	633.68	48.42	12.65
0.532	800.0	171.58	31.1
0.571	301.05	67.37	14.96
0.389	467.37	200.0	10.34
0.738	550.53	67.37	17.26
0.023	259.47	162.11	35.71
0.593	716.84	133.68	38.01
0.699	758.42	105.26	35.71
0.666	134.74	29.47	26.48
0.259	301.05	162.11	12.65
0.569	425.79	114.74	8.04
0.016	10.0	57.89	10.34
0.538	176.32	48.42	17.26
0.04	10.0	162.11	3.43
0.761	550.53	181.05	3.43
0.873	134.74	20.0	1.12
0.449	51.58	29.47	12.65
0.417	342.63	105.26	17.26
0.906	675.26	29.47	5.73
0.0	51.58	95.79	35.71
0.001	134.74	181.05	26.48
0.252	176.32	76.84	26.48
0.307	176.32	95.79	10.34
0.967	675.26	162.11	1.12
0.637	800.0	133.68	40.32
0.662	675.26	105.26	24.18
0.65	592.11	95.79	33.4
0.0	51.58	105.26	26.48
0.262	592.11	200.0	33.4
0.0	51.58	95.79	26.48
0.06	217.89	162.11	21.87
0.58	592.11	114.74	26.48
0.962	592.11	67.37	1.12
0.965	633.68	67.37	1.12
0.425	550.53	143.16	38.01
0.682	716.84	105.26	19.57
0.475	93.16	67.37	3.43
0.961	550.53	38.95	1.12
0.001	217.89	171.58	40.32
0.435	93.16	38.95	38.01
0.178	93.16	86.32	10.34
0.717	800.0	105.26	17.26
0.503	675.26	152.63	35.71
0.433	675.26	171.58	40.32
0.58	592.11	114.74	31.1
0.444	508.95	143.16	17.26
0.0	10.0	105.26	24.18
0.033	93.16	95.79	21.87
0.293	301.05	124.21	17.26
0.376	467.37	133.68	35.71
0.6	675.26	124.21	26.48
0.152	384.21	200.0	21.87
0.546	342.63	76.84	28.79
0.661	675.26	105.26	31.1
0.116	259.47	181.05	17.26
0.198	259.47	171.58	12.65
0.84	758.42	57.89	8.04
0.269	425.79	200.0	14.96
0.278	301.05	105.26	38.01
0.363	301.05	133.68	10.34
0.939	425.79	162.11	1.12
0.444	675.26	171.58	28.79
0.591	10.0	20.0	1.13
0.501	716.84	162.11	38.01
0.724	800.0	171.58	5.73
0.348	342.63	114.74	21.87
0.369	425.79	133.68	21.87
0.809	301.05	29.47	35.71
0.004	10.0	48.42	17.26
0.0	134.74	152.63	35.71
0.665	342.63	133.68	3.43
0.16	134.74	95.79	14.96
0.731	342.63	48.42	8.04
0.795	633.68	171.58	3.43
0.37	550.53	162.11	26.48
0.614	550.53	105.26	12.65
0.338	508.95	152.63	35.71
0.638	800.0	133.68	26.48
0.742	384.21	48.42	26.48
0.429	176.32	57.89	38.01
0.0	10.0	171.58	33.4
0.0	10.0	152.63	31.1
0.716	342.63	48.42	33.4
0.08	134.74	152.63	12.65
0.062	134.74	171.58	12.65
0.007	51.58	57.89	38.01
0.945	800.0	20.0	40.32
0.0	51.58	190.53	40.32
0.09	51.58	48.42	26.48
0.549	342.63	124.21	5.73
0.837	508.95	38.95	19.57
0.724	93.16	20.0	33.4
0.001	93.16	95.79	35.71
0.558	800.0	162.11	38.01
0.777	467.37	86.32	3.43
0.905	675.26	29.47	8.04
0.532	176.32	48.42	38.01
0.676	592.11	95.79	10.34
0.0	10.0	200.0	10.34
0.797	508.95	48.42	40.32
0.813	675.26	67.37	5.73
0.598	217.89	48.42	26.48
0.382	259.47	133.68	8.04
0.724	93.16	20.0	14.96
0.164	384.21	152.63	38.01
0.728	259.47	38.95	8.04
0.053	384.21	190.53	40.32
0.759	467.37	105.26	3.43
0.444	134.74	48.42	19.57
0.192	425.79	171.58	28.79
0.609	633.68	114.74	21.87
0.716	342.63	48.42	24.18
0.887	758.42	38.95	14.96
0.0	93.16	171.58	26.48
0.308	342.63	114.74	31.1
0.654	467.37	76.84	21.87
0.447	508.95	181.05	10.34
0.072	134.74	200.0	10.34
0.721	176.32	29.47	33.4
0.146	176.32	171.58	10.34
0.866	467.37	29.47	26.48
0.681	716.84	105.26	28.79
0.009	217.89	200.0	26.48
0.0	134.74	133.68	38.01
0.705	384.21	67.37	5.73
0.049	51.58	105.26	10.34
0.0	134.74	162.11	40.32
0.802	633.68	67.37	5.73
0.724	93.16	20.0	31.1
0.35	384.21	181.05	10.34
0.623	716.84	124.21	26.48
0.951	508.95	190.53	1.12
0.63	675.26	114.74	38.01
0.256	51.58	38.95	19.57
0.716	342.63	48.42	28.79
0.186	93.16	105.26	8.04
0.487	467.37	114.74	21.87
0.645	633.68	190.53	5.73
0.789	467.37	48.42	8.04
0.627	633.68	124.21	10.34
0.015	134.74	95.79	40.32
0.222	425.79	171.58	24.18
0.015	259.47	190.53	31.1
0.016	176.32	124.21	35.71
0.884	550.53	29.47	19.57
0.55	592.11	124.21	21.87
0.482	425.79	162.11	8.04
0.593	716.84	133.68	40.32
0.62	384.21	76.84	10.34
0.856	259.47	20.0	35.71
0.424	550.53	152.63	21.87
0.325	508.95	181.05	19.57
0.73	342.63	76.84	3.43
0.079	51.58	86.32	10.34
0.0	93.16	200.0	31.1
0.022	176.32	152.63	24.18
0.967	675.26	114.74	1.12
0.541	259.47	76.84	8.04
0.633	301.05	57.89	12.65
0.502	259.47	67.37	35.71
0.184	259.47	181.05	12.65
0.063	93.16	152.63	10.34
0.0	217.89	190.53	38.01
0.268	467.37	171.58	24.18
0.445	550.53	162.11	14.96
0.18	134.74	67.37	35.71
0.659	301.05	57.89	8.04
0.673	800.0	124.21	14.96
0.692	384.21	57.89	40.32
0.837	217.89	20.0	21.87
0.349	10.0	114.74	1.12
0.663	800.0	124.21	33.4
0.158	176.32	162.11	10.34
0.438	467.37	133.68	17.26
0.894	384.21	20.0	38.01
0.285	467.37	152.63	35.71
0.843	384.21	29.47	17.26
0.738	633.68	76.84	35.71
0.626	301.05	143.16	3.43
0.072	10.0	57.89	5.73
0.874	675.26	38.95	35.71
0.52	384.21	105.26	10.34
0.56	301.05	67.37	33.4
0.7	550.53	76.84	28.79
0.3	259.47	124.21	12.65
0.58	592.11	114.74	33.4
0.797	508.95	48.42	24.18
0.747	93.16	124.21	1.12
0.834	758.42	57.89	12.65
0.969	716.84	143.16	1.12
0.767	716.84	76.84	40.32
0.718	259.47	38.95	28.79
0.008	51.58	200.0	10.34
0.007	217.89	162.11	35.71
0.052	301.05	181.05	28.79
0.776	134.74	20.0	17.26
0.503	758.42	171.58	35.71
0.428	10.0	20.0	3.43
0.399	592.11	162.11	31.1
0.805	134.74	152.63	1.12
0.397	217.89	105.26	8.04
0.143	51.58	48.42	19.57
0.856	259.47	20.0	21.87
0.093	93.16	105.26	12.65
0.0	176.32	181.05	35.71
0.126	51.58	48.42	21.87
0.828	342.63	29.47	14.96
0.23	259.47	114.74	21.87
0.148	384.21	171.58	28.79
0.0	134.74	162.11	33.4
0.001	51.58	133.68	19.57
0.565	467.37	95.79	40.32
0.473	633.68	190.53	12.65
0.0	51.58	67.37	40.32
0.782	467.37	48.42	33.4
0.94	384.21	38.95	1.12
0.589	176.32	76.84	3.43
0.0	51.58	171.58	24.18
0.1	176.32	124.21	19.57
0.272	259.47	114.74	17.26
0.687	508.95	86.32	8.04
0.497	758.42	190.53	17.26
0.029	176.32	181.05	19.57
0.662	342.63	57.89	17.26
0.632	342.63	190.53	3.43
0.506	592.11	133.68	40.32
0.146	259.47	162.11	17.26
0.334	508.95	152.63	38.01
0.329	425.79	133.68	31.1
0.874	675.26	38.95	21.87
0.038	217.89	133.68	33.4
0.752	93.16	105.26	1.12
0.71	716.84	95.79	26.48
0.347	259.47	86.32	33.4
0.642	716.84	162.11	8.04
0.54	217.89	57.89	12.65
0.797	508.95	48.42	31.1
0.543	384.21	86.32	19.57
0.034	93.16	86.32	24.18
0.0	93.16	171.58	40.32
0.847	384.21	29.47	5.73
0.0	10.0	133.68	28.79
0.423	467.37	124.21	38.01
0.001	51.58	200.0	14.96
0.597	508.95	95.79	38.01
0.0	93.16	143.16	26.48
0.14	425.79	181.05	33.4
0.002	51.58	143.16	17.26
0.709	384.21	114.74	3.43
0.835	758.42	57.89	10.34
0.701	550.53	76.84	17.26
0.446	633.68	171.58	19.57
0.672	467.37	76.84	10.34
0.686	301.05	48.42	35.71
0.931	633.68	20.0	35.71
0.667	134.74	29.47	14.96
0.405	550.53	181.05	14.96
0.716	425.79	57.89	28.79
0.07	384.21	181.05	40.32
0.59	716.84	143.16	14.96
0.623	51.58	20.0	19.57
0.413	758.42	200.0	35.71
0.08	301.05	152.63	33.4
0.653	51.58	86.32	1.12
0.101	342.63	181.05	26.48
0.281	176.32	86.32	14.96
0.384	425.79	181.05	10.34
0.838	633.68	48.42	8.04
0.093	301.05	190.53	21.87
0.673	259.47	48.42	8.04
0.573	217.89	114.74	3.43
0.874	675.26	38.95	40.32
0.428	259.47	152.63	5.73
0.742	384.21	48.42	40.32
0.189	301.05	124.21	31.1
0.699	758.42	105.26	24.18
0.724	93.16	20.0	17.26
0.72	508.95	67.37	14.96
0.774	550.53	57.89	38.01
0.758	217.89	29.47	12.65
0.622	800.0	143.16	17.26
0.622	301.05	76.84	5.73
0.614	758.42	162.11	10.34
0.314	384.21	124.21	33.4
0.857	592.11	38.95	40.32
0.879	301.05	20.0	3.43
0.369	425.79	124.21	35.71
0.939	716.84	20.0	35.71
0.569	675.26	133.68	26.48
0.572	342.63	76.84	12.65
0.506	592.11	133.68	38.01
0.81	301.05	29.47	10.34
0.659	758.42	162.11	8.04
0.767	716.84	76.84	28.79
0.702	716.84	162.11	5.73
0.545	342.63	76.84	31.1
0.274	592.11	190.53	40.32
0.008	51.58	105.26	17.26
0.977	800.0	29.47	1.12
0.952	508.95	133.68	1.12
0.663	550.53	86.32	31.1
0.678	508.95	76.84	26.48
0.84	550.53	57.89	3.43
0.031	93.16	105.26	19.57
0.336	467.37	162.11	19.57
0.43	508.95	133.68	31.1
0.574	675.26	133.68	21.87
0.479	758.42	200.0	17.26
0.832	758.42	190.53	3.43
0.364	384.21	114.74	35.71
0.556	508.95	105.26	38.01
0.64	384.21	67.37	35.71
0.511	259.47	67.37	19.57
0.0	10.0	143.16	31.1
0.475	550.53	133.68	26.48
0.606	592.11	124.21	10.34
0.582	467.37	105.26	10.34
0.005	134.74	143.16	26.48
0.43	217.89	67.37	28.79
0.739	467.37	133.68	3.43
0.746	633.68	76.84	10.34
0.811	550.53	48.42	28.79
0.603	342.63	67.37	35.71
0.001	176.32	143.16	40.32
0.96	592.11	190.53	1.12
0.432	10.0	57.89	1.12
0.188	384.21	181.05	21.87
0.187	51.58	38.95	35.71
0.0	51.58	190.53	19.57
0.471	758.42	181.05	40.32
0.793	384.21	38.95	40.32
0.654	800.0	181.05	8.04
0.028	51.58	67.37	21.87
0.0	10.0	114.74	33.4
0.142	93.16	86.32	12.65
0.021	259.47	171.58	33.4
0.421	51.58	29.47	35.71
0.457	592.11	152.63	21.87
0.91	467.37	20.0	8.04
0.025	10.0	95.79	5.73
0.6	217.89	48.42	17.26
0.0	10.0	143.16	24.18
0.081	301.05	200.0	21.87
0.739	467.37	57.89	31.1
0.016	301.05	181.05	40.32
0.059	259.47	143.16	33.4
0.125	467.37	200.0	35.71
0.315	425.79	143.16	24.18
0.89	633.68	38.95	3.43
0.504	301.05	76.84	19.57
0.427	93.16	48.42	8.04
0.188	176.32	143.16	10.34
0.0	51.58	181.05	17.26
0.006	93.16	86.32	35.71
0.0	51.58	86.32	33.4
0.579	425.79	86.32	19.57
0.939	716.84	20.0	28.79
0.809	425.79	38.95	24.18
0.68	633.68	114.74	8.04
0.793	384.21	38.95	38.01
0.214	217.89	95.79	26.48
0.199	425.79	162.11	33.4
0.844	800.0	181.05	3.43
0.91	716.84	29.47	40.32
0.644	758.42	124.21	40.32
0.123	384.21	171.58	33.4
0.081	10.0	95.79	3.43
0.834	758.42	57.89	40.32
0.508	758.42	171.58	26.48
0.671	758.42	152.63	8.04
0.589	758.42	143.16	40.32
0.499	675.26	162.11	19.57
0.444	384.21	105.26	21.87
0.797	800.0	95.79	5.73
0.499	384.21	190.53	5.73
0.359	550.53	181.05	19.57
0.149	467.37	200.0	31.1
0.65	176.32	38.95	8.04
0.558	758.42	162.11	17.26
0.812	176.32	20.0	14.96
0.001	134.74	190.53	24.18
0.0	51.58	86.32	40.32
0.009	134.74	143.16	24.18
0.549	301.05	76.84	10.34
0.572	758.42	171.58	12.65
0.973	716.84	29.47	1.12
0.041	51.58	162.11	8.04
0.228	134.74	67.37	24.18
0.012	176.32	171.58	24.18
0.512	217.89	181.05	3.43
0.478	758.42	181.05	28.79
0.892	592.11	29.47	28.79
0.046	259.47	171.58	26.48
0.767	716.84	76.84	17.26
0.297	217.89	152.63	8.04
0.535	259.47	67.37	12.65
0.753	758.42	86.32	26.48
0.687	758.42	114.74	12.65
0.215	259.47	143.16	14.96
0.716	800.0	105.26	21.87
0.619	592.11	105.26	19.57
0.597	716.84	133.68	21.87
0.146	93.16	76.84	14.96
0.366	633.68	181.05	33.4
0.663	800.0	124.21	40.32
0.228	425.79	152.63	35.71
0.58	592.11	114.74	28.79
0.0	10.0	162.11	28.79
0.256	134.74	152.63	5.73
0.707	633.68	86.32	17.26
0.124	301.05	171.58	21.87
0.969	716.84	152.63	1.12
0.756	675.26	76.84	12.65
0.302	384.21	152.63	17.26
0.748	301.05	38.95	17.26
0.0	51.58	86.32	31.1
0.386	550.53	190.53	14.96
0.344	384.21	124.21	24.18
0.198	425.79	181.05	24.18
0.568	176.32	86.32	3.43
0.766	342.63	57.89	3.43
0.429	633.68	162.11	40.32
0.855	425.79	29.47	14.96
0.738	633.68	76.84	17.26
0.244	259.47	171.58	10.34
0.413	467.37	133.68	21.87
0.629	176.32	38.95	14.96
0.549	342.63	86.32	10.34
0.787	259.47	29.47	14.96
0.559	508.95	124.21	10.34
0.824	716.84	57.89	12.65
0.028	134.74	190.53	14.96
0.645	758.42	124.21	26.48
0.002	93.16	86.32	40.32
0.787	259.47	29.47	26.48
0.811	550.53	48.42	26.48
0.645	384.21	76.84	8.04
0.508	675.26	152.63	26.48
0.455	425.79	143.16	10.34
0.207	134.74	133.68	8.04
0.927	592.11	20.0	24.18
0.428	10.0	20.0	3.43
0.105	301.05	152.63	28.79
0.916	508.95	20.0	33.4
0.277	217.89	86.32	26.48
0.399	508.95	143.16	26.48
0.008	51.58	124.21	14.96
0.825	716.84	57.89	10.34
0.653	716.84	114.74	21.87
0.0	10.0	105.26	17.26
0.642	51.58	20.0	5.73
0.003	93.16	152.63	21.87
0.196	342.63	200.0	14.96
0.2	217.89	143.16	12.65
0.19	301.05	143.16	21.87
0.0	10.0	181.05	28.79
0.622	425.79	76.84	40.32
0.666	134.74	29.47	35.71
0.474	467.37	190.53	8.04
0.824	716.84	57.89	24.18
0.799	633.68	152.63	3.43
0.878	217.89	105.26	1.12
0.947	467.37	114.74	1.12
0.6	675.26	124.21	28.79
0.666	758.42	124.21	12.65
0.645	592.11	124.21	8.04
0.964	633.68	152.63	1.12
0.003	134.74	152.63	26.48
0.618	758.42	133.68	24.18
0.882	467.37	29.47	3.43
0.802	633.68	57.89	38.01
0.839	716.84	105.26	3.43
0.258	550.53	190.53	31.1
0.101	10.0	48.42	5.73
0.758	508.95	57.89	24.18
0.441	592.11	162.11	19.57
0.0	10.0	76.84	35.71
0.718	508.95	67.37	19.57
0.0	51.58	200.0	31.1
0.273	259.47	105.26	21.87
0.894	384.21	20.0	10.34
0.71	716.84	95.79	19.57
0.117	342.63	152.63	35.71
0.796	716.84	67.37	14.96
0.948	384.21	20.0	1.12
0.951	508.95	162.11	1.12
0.4	633.68	171.58	33.4
0.077	425.79	200.0	38.01
0.432	467.37	124.21	28.79
0.461	633.68	181.05	14.96
0.723	425.79	57.89	10.34
0.663	633.68	124.21	8.04
0.25	384.21	190.53	14.96
0.719	758.42	105.26	10.34
0.245	217.89	86.32	35.71
0.611	633.68	114.74	19.57
0.71	716.84	95.79	38.01
0.292	508.95	162.11	38.01
0.915	675.26	29.47	3.43
0.625	716.84	124.21	21.87
0.515	508.95	114.74	28.79
0.413	176.32	67.37	12.65
0.608	800.0	162.11	12.65
0.812	550.53	48.42	10.34
0.96	592.11	133.68	1.12
0.684	217.89	38.95	10.34
0.634	51.58	124.21	1.12
0.672	633.68	95.79	26.48
0.038	134.74	95.79	31.1
0.052	93.16	114.74	14.96
0.488	633.68	152.63	21.87
0.0	51.58	190.53	24.18
0.112	10.0	29.47	12.65
0.866	633.68	38.95	14.96
0.621	508.95	114.74	8.04
0.551	134.74	48.42	5.73
0.846	633.68	48.42	5.73
0.146	51.58	57.89	12.65
0.837	508.95	38.95	38.01
0.399	134.74	162.11	3.43
0.276	10.0	20.0	14.96
0.857	592.11	38.95	10.34
0.872	301.05	20.0	19.57
0.726	758.42	95.79	28.79
0.146	134.74	181.05	8.04
0.474	758.42	181.05	33.4
0.053	176.32	171.58	17.26
0.593	633.68	171.58	8.04
0.723	675.26	86.32	26.48
0.386	425.79	124.21	26.48
0.453	384.21	105.26	19.57
0.545	342.63	76.84	33.4
0.0	134.74	143.16	35.71
0.693	675.26	95.79	21.87
0.935	675.26	20.0	5.73
0.008	176.32	133.68	35.71
0.427	467.37	124.21	33.4
0.098	301.05	162.11	26.48
0.741	259.47	38.95	5.73
0.499	217.89	67.37	10.34
0.597	467.37	114.74	8.04
0.48	384.21	95.79	38.01
0.485	342.63	86.32	40.32
0.693	800.0	114.74	17.26
0.075	217.89	114.74	35.71
0.375	342.63	105.26	26.48
0.471	550.53	133.68	31.1
0.359	384.21	114.74	40.32
0.322	384.21	200.0	10.34
0.0	93.16	114.74	35.71
0.958	550.53	76.84	1.12
0.002	51.58	76.84	28.79
0.323	384.21	171.58	12.65
0.663	550.53	133.68	5.73
0.481	800.0	190.53	28.79
0.285	342.63	200.0	10.34
0.662	592.11	114.74	8.04
0.952	508.95	143.16	1.12
0.568	675.26	133.68	40.32
0.055	93.16	162.11	10.34
0.431	259.47	76.84	26.48
0.816	550.53	48.42	8.04
0.816	758.42	76.84	5.73
0.116	217.89	152.63	17.26
0.931	633.68	20.0	33.4
0.617	758.42	133.68	28.79
0.672	758.42	114.74	33.4
0.706	592.11	114.74	5.73
0.607	633.68	114.74	28.79
0.311	342.63	133.68	17.26
0.64	425.79	105.26	5.73
0.084	217.89	200.0	14.96
0.41	301.05	95.79	17.26
0.902	425.79	20.0	10.34
0.89	342.63	20.0	3.43
0.038	10.0	57.89	8.04
0.535	384.21	86.32	35.71
0.964	592.11	38.95	1.12
0.642	51.58	105.26	1.12
0.1	51.58	143.16	5.73
0.0	10.0	133.68	33.4
0.55	93.16	48.42	3.43
0.568	758.42	152.63	21.87
0.715	800.0	105.26	35.71
0.773	342.63	38.95	10.34
0.0	51.58	105.26	33.4
0.354	384.21	143.16	14.96
0.267	384.21	143.16	24.18
0.704	758.42	105.26	14.96
0.239	259.47	105.26	26.48
0.945	800.0	20.0	12.65
0.035	176.32	124.21	28.79
0.026	51.58	133.68	10.34
0.321	301.05	105.26	24.18
0.898	259.47	105.26	1.12
0.117	176.32	95.79	28.79
0.772	342.63	38.95	38.01
0.65	384.21	67.37	12.65
0.424	467.37	133.68	19.57
0.025	134.74	133.68	21.87
0.429	176.32	57.89	40.32
0.311	508.95	162.11	31.1
0.884	550.53	29.47	31.1
0.411	550.53	152.63	24.18
0.543	716.84	152.63	21.87
0.635	550.53	95.79	14.96
0.64	508.95	86.32	19.57
0.812	176.32	20.0	33.4
0.783	675.26	67.37	26.48
0.931	633.68	20.0	40.32
0.722	176.32	29.47	10.34
0.566	592.11	143.16	10.34
0.553	134.74	38.95	26.48
0.102	259.47	124.21	35.71
0.343	259.47	86.32	35.71
0.0	10.0	162.11	40.32
0.677	675.26	105.26	12.65
